RPM,TinjA,TinjB,Tinj,Prail,Vinj_cum,TinjCNG,Pred,Pmap,Pcng,Tcng
1000.0000000000,465.0000000000,723.0000000000,1188.0000000000,998.7531728245,0.0000015131,5.0000000000,2.1460159428,1.0000000000,1.1460159428,25
1000.0000000000,364.0000000000,895.0000000000,1259.0000000000,904.2974099471,0.0000030247,6.0000000000,1.9043111012,1.0000000000,0.9043111012,25
1000.0000000000,383.0000000000,599.0000000000,982.0000000000,969.1945994243,0.0000042534,8.0000000000,2.1924431002,1.0000000000,1.1924431002,25
1000.0000000000,381.0000000000,606.0000000000,987.0000000000,974.5932551823,0.0000054925,8.0000000000,1.9959504729,1.0000000000,0.9959504729,25
1000.0000000000,427.0000000000,738.0000000000,1165.0000000000,956.3680511823,0.0000069387,7.0000000000,1.9153798078,1.0000000000,0.9153798078,25
1000.0000000000,367.0000000000,816.0000000000,1183.0000000000,952.0644775304,0.0000084034,8.0000000000,1.9548780937,1.0000000000,0.9548780937,25
1000.0000000000,415.0000000000,808.0000000000,1223.0000000000,1062.6133810659,0.0000100186,6.0000000000,2.0513724953,1.0000000000,1.0513724953,25
1000.0000000000,345.0000000000,688.0000000000,1033.0000000000,1012.1102221820,0.0000113445,7.0000000000,2.0285887847,1.0000000000,1.0285887847,25
1000.0000000000,429.0000000000,541.0000000000,970.0000000000,1006.4329565743,0.0000125855,7.0000000000,2.1951782687,1.0000000000,1.1951782687,25
1000.0000000000,325.0000000000,690.0000000000,1015.0000000000,980.1476712720,0.0000138640,5.0000000000,2.0396935820,1.0000000000,1.0396935820,25
1000.0000000000,421.0000000000,841.0000000000,1262.0000000000,969.7765096167,0.0000154436,8.0000000000,1.9169159872,1.0000000000,0.9169159872,25
1000.0000000000,338.0000000000,731.0000000000,1069.0000000000,1000.2778961756,0.0000168064,9.0000000000,2.1739750298,1.0000000000,1.1739750298,25
1000.0000000000,315.0000000000,874.0000000000,1189.0000000000,1076.0436777068,0.0000183882,3.0000000000,1.8705472403,1.0000000000,0.8705472403,25
1000.0000000000,408.0000000000,592.0000000000,1000.0000000000,1099.2711785757,0.0000197351,5.0000000000,1.9887307364,1.0000000000,0.9887307364,25
1000.0000000000,489.0000000000,732.0000000000,1221.0000000000,1061.7981557609,0.0000213469,8.0000000000,1.9619677400,1.0000000000,0.9619677400,25
1000.0000000000,417.0000000000,857.0000000000,1274.0000000000,1043.9910400491,0.0000230122,6.0000000000,2.0403321890,1.0000000000,1.0403321890,25
1000.0000000000,422.0000000000,845.0000000000,1267.0000000000,951.1406763529,0.0000245799,3.0000000000,1.9336803679,1.0000000000,0.9336803679,25
1000.0000000000,499.0000000000,513.0000000000,1012.0000000000,1097.2679865438,0.0000259416,5.0000000000,2.0525287389,1.0000000000,1.0525287389,25
1000.0000000000,481.0000000000,767.0000000000,1248.0000000000,947.7876478412,0.0000274826,4.0000000000,1.8132740361,1.0000000000,0.8132740361,25
1000.0000000000,408.0000000000,600.0000000000,1008.0000000000,1099.8238491551,0.0000288407,3.0000000000,1.8990162907,1.0000000000,0.8990162907,25
1000.0000000000,367.0000000000,633.0000000000,1000.0000000000,1087.1257706785,0.0000301790,4.0000000000,2.0366342412,1.0000000000,1.0366342412,25
1000.0000000000,403.0000000000,636.0000000000,1039.0000000000,1093.2043988964,0.0000315740,9.0000000000,2.0322419494,1.0000000000,1.0322419494,25
1000.0000000000,415.0000000000,751.0000000000,1166.0000000000,1098.2475465084,0.0000331437,5.0000000000,1.8607703110,1.0000000000,0.8607703110,25
1000.0000000000,422.0000000000,754.0000000000,1176.0000000000,936.7760651088,0.0000345857,7.0000000000,1.8619900335,1.0000000000,0.8619900335,25
1000.0000000000,348.0000000000,658.0000000000,1006.0000000000,1071.1521971664,0.0000359205,7.0000000000,2.0278363230,1.0000000000,1.0278363230,25
1000.0000000000,326.0000000000,682.0000000000,1008.0000000000,1094.4799491352,0.0000372748,5.0000000000,2.1233798339,1.0000000000,1.1233798339,25
1000.0000000000,414.0000000000,516.0000000000,930.0000000000,959.2233525517,0.0000384314,8.0000000000,2.1716117069,1.0000000000,1.1716117069,25
1000.0000000000,462.0000000000,652.0000000000,1114.0000000000,1088.3737376931,0.0000399232,4.0000000000,1.9404500874,1.0000000000,0.9404500874,25
1000.0000000000,468.0000000000,640.0000000000,1108.0000000000,982.2881646241,0.0000413206,4.0000000000,2.1048496152,1.0000000000,1.1048496152,25
1000.0000000000,403.0000000000,685.0000000000,1088.0000000000,926.5155224091,0.0000426460,9.0000000000,1.8316761397,1.0000000000,0.8316761397,25
1000.0000000000,455.0000000000,728.0000000000,1183.0000000000,1005.9420194298,0.0000441591,4.0000000000,1.9792508832,1.0000000000,0.9792508832,25
1000.0000000000,407.0000000000,840.0000000000,1247.0000000000,1057.9324736504,0.0000458018,8.0000000000,1.9706883359,1.0000000000,0.9706883359,25
1000.0000000000,355.0000000000,806.0000000000,1161.0000000000,955.5447468070,0.0000472423,6.0000000000,1.9505771444,1.0000000000,0.9505771444,25
1000.0000000000,347.0000000000,539.0000000000,886.0000000000,1020.4350190088,0.0000483851,6.0000000000,1.9607671403,1.0000000000,0.9607671403,25
1000.0000000000,396.0000000000,558.0000000000,954.0000000000,1066.3751743012,0.0000496476,5.0000000000,2.1524869316,1.0000000000,1.1524869316,25
1000.0000000000,471.0000000000,723.0000000000,1194.0000000000,986.4843731197,0.0000511572,8.0000000000,2.1977310859,1.0000000000,1.1977310859,25
1000.0000000000,330.0000000000,595.0000000000,925.0000000000,1012.3180774049,0.0000523447,8.0000000000,1.9962813517,1.0000000000,0.9962813517,25
1000.0000000000,307.0000000000,719.0000000000,1026.0000000000,1005.7479312434,0.0000536568,4.0000000000,2.0920119977,1.0000000000,1.0920119977,25
