RPM,TinjA,TinjB,Tinj,Prail,Vinj_cum
1000.0000000000,374.0000000000,544.0000000000,918.0000000000,1095.8321601086,0.0000003501
1000.0000000000,310.0000000000,771.0000000000,1081.0000000000,937.6736454110,0.0000007271
1000.0000000000,336.0000000000,717.0000000000,1053.0000000000,1059.5115426392,0.0000011211
1000.0000000000,373.0000000000,762.0000000000,1135.0000000000,952.9743490769,0.0000015206
1000.0000000000,450.0000000000,719.0000000000,1169.0000000000,1094.3035129106,0.0000019661
1000.0000000000,375.0000000000,812.0000000000,1187.0000000000,1060.9595903342,0.0000024105
1000.0000000000,455.0000000000,864.0000000000,1319.0000000000,1094.6055677120,0.0000029132
1000.0000000000,465.0000000000,747.0000000000,1212.0000000000,1007.4443234793,0.0000033538
1000.0000000000,438.0000000000,513.0000000000,951.0000000000,962.9611863248,0.0000036906
1000.0000000000,382.0000000000,765.0000000000,1147.0000000000,941.3571184780,0.0000040915
1000.0000000000,458.0000000000,503.0000000000,961.0000000000,988.1009119689,0.0000044370
1000.0000000000,459.0000000000,618.0000000000,1077.0000000000,908.9003861764,0.0000048058
1000.0000000000,480.0000000000,595.0000000000,1075.0000000000,984.8425344736,0.0000051915
1000.0000000000,464.0000000000,872.0000000000,1336.0000000000,1093.7658269554,0.0000057005
1000.0000000000,326.0000000000,518.0000000000,844.0000000000,971.1010682641,0.0000060009
1000.0000000000,439.0000000000,689.0000000000,1128.0000000000,1034.6813846905,0.0000064172
1000.0000000000,370.0000000000,806.0000000000,1176.0000000000,1082.0778662484,0.0000068625
1000.0000000000,477.0000000000,686.0000000000,1163.0000000000,976.0792625400,0.0000072776
1000.0000000000,459.0000000000,747.0000000000,1206.0000000000,940.1280061864,0.0000076989
1000.0000000000,312.0000000000,774.0000000000,1086.0000000000,1017.7072766996,0.0000080959
1000.0000000000,439.0000000000,572.0000000000,1011.0000000000,905.9320774187,0.0000084415
1000.0000000000,409.0000000000,555.0000000000,964.0000000000,935.9862033730,0.0000087774
1000.0000000000,361.0000000000,533.0000000000,894.0000000000,960.6557878204,0.0000090935
1000.0000000000,372.0000000000,838.0000000000,1210.0000000000,937.5210463359,0.0000095155
1000.0000000000,384.0000000000,858.0000000000,1242.0000000000,1003.0950393950,0.0000099658
1000.0000000000,459.0000000000,731.0000000000,1190.0000000000,1018.9485424319,0.0000104012
1000.0000000000,410.0000000000,612.0000000000,1022.0000000000,902.3153360675,0.0000107498
1000.0000000000,464.0000000000,843.0000000000,1307.0000000000,1044.0748863309,0.0000112347
1000.0000000000,403.0000000000,679.0000000000,1082.0000000000,1046.7665136389,0.0000116367
1000.0000000000,330.0000000000,785.0000000000,1115.0000000000,1066.1947480166,0.0000120554
1000.0000000000,375.0000000000,728.0000000000,1103.0000000000,945.1079160884,0.0000124418
1000.0000000000,303.0000000000,798.0000000000,1101.0000000000,1024.6315915921,0.0000128459
1000.0000000000,489.0000000000,708.0000000000,1197.0000000000,1000.9645040264,0.0000132794
1000.0000000000,357.0000000000,769.0000000000,1126.0000000000,919.1822595710,0.0000136676
1000.0000000000,430.0000000000,680.0000000000,1110.0000000000,1008.0564907628,0.0000140712
1000.0000000000,460.0000000000,785.0000000000,1245.0000000000,1053.6684395436,0.0000145355
1000.0000000000,397.0000000000,730.0000000000,1127.0000000000,928.7382002571,0.0000149264
